=== 被取消会话 → 合并目标映射 ===
总计: 64 通

序号   被取消Session                      消息数 →    合并到Session                      消息数 用户ID
------------------------------------------------------------------------------------------
1    session_0255_e995a0a8            23 →    NOT_FOUND                         0 13601200692_p
2    session_0371_a1339e0f             7 →    NOT_FOUND                         0 13601200692_p
3    session_0039_542522f2             3 →    NOT_FOUND                         0 539平邑县魏运刚
4    session_0108_a1e84b6b            11 →    NOT_FOUND                         0 539平邑县魏运刚
5    session_0208_ec002cfb             5 →    session_0308_a92c2105             4 chashuwanj_m
6    session_0307_886c63b4            12 →    session_0308_a92c2105             4 chashuwanj_m
7    session_0309_7eca689f             3 →    session_0308_a92c2105             4 chashuwanj_m
8    session_0000_a92c2105             7 →    session_0140_19953703             4 jd_45e88d4ee6de0
9    session_0060_a92c2105            12 →    session_0140_19953703             4 jd_45e88d4ee6de0
10   session_0137_a92c2105             9 →    session_0140_19953703             4 jd_45e88d4ee6de0
11   session_0249_a92c2105            17 →    session_0140_19953703             4 jd_45e88d4ee6de0
12   session_0252_33db0a0b             4 →    session_0140_19953703             4 jd_45e88d4ee6de0
13   session_0233_4e4751f7             4 →    session_0304_bb626ade             4 jd_4c3651b409043
14   session_0300_d5d7c6d1            17 →    session_0304_bb626ade             4 jd_4c3651b409043
15   session_0122_75cb50f0            16 →    NOT_FOUND                         0 jd_58579e2fd353f
16   session_0165_eb9b7555            13 →    NOT_FOUND                         0 jd_58579e2fd353f
17   session_0183_600e4b12            18 →    NOT_FOUND                         0 jd_5b187d060d596
18   session_0284_d5d7c6d1            27 →    NOT_FOUND                         0 jd_5b187d060d596
19   session_0286_cdb1bf9a             8 →    NOT_FOUND                         0 jd_5b187d060d596
20   session_0301_847a46fe             9 →    NOT_FOUND                         0 jd_5b187d060d596
21   session_0054_35413ada             5 →    NOT_FOUND                         0 jd_5f75f2e23c1a1
22   session_0113_ba189dc3            13 →    NOT_FOUND                         0 jd_5f75f2e23c1a1
23   session_0186_00aa8a90            32 →    NOT_FOUND                         0 jd_5f9acfefaadb1
24   session_0317_8c376519             9 →    NOT_FOUND                         0 jd_5f9acfefaadb1
25   session_0040_240c8d7f             9 →    NOT_FOUND                         0 jd_6134d3b0fa3c7
26   session_0120_09d6c7b1             9 →    NOT_FOUND                         0 jd_6134d3b0fa3c7
27   session_0250_86556d3c             6 →    session_0069_7eca689f            13 jd_6832eccb8b045
28   session_0305_da1a2999             5 →    session_0069_7eca689f            13 jd_6832eccb8b045
29   session_0296_24ad7994             5 →    session_0295_a92c2105            12 jd_6e176b66e914f
30   session_0303_3333d84a             4 →    session_0298_da0e610b             3 jd_6e176b66e914f
31   session_0209_3876259f            13 →    session_0344_38569af0            10 jd_73091f28bb0f3
32   session_0311_38569af0            40 →    session_0344_38569af0            10 jd_73091f28bb0f3
33   session_0350_dfe429c9            13 →    NOT_FOUND                         0 jd_746bdb1da6b79
34   session_0391_4a909d0f            10 →    NOT_FOUND                         0 jd_746bdb1da6b79
35   session_0172_64fea49c             9 →    session_0176_64fea49c             4 jd_7ceb429d78ea7
36   session_0225_f9e547e7             8 →    session_0231_d77a7422             5 jd_7ceb429d78ea7
37   session_0136_72495336             4 →    NOT_FOUND                         0 jd_cspmhyatbpdy
38   session_0198_d1b4ec95            12 →    NOT_FOUND                         0 jd_cspmhyatbpdy
39   session_0049_4f71c8b8             6 →    NOT_FOUND                         0 jd_uencnrmnbnhv
40   session_0096_960cb70a            10 →    NOT_FOUND                         0 jd_uencnrmnbnhv
41   session_0029_5bdbb5bb             4 →    session_0085_6c7f7fa9            12 jd_vpkcocspbxyx
42   session_0091_0f921bd6             5 →    session_0085_6c7f7fa9            12 jd_vpkcocspbxyx
43   session_0315_3f7bf269             3 →    NOT_FOUND                         0 jd_vvubzbbotiht
44   session_0374_3ad63cb3            14 →    NOT_FOUND                         0 jd_vvubzbbotiht
45   session_0282_515749a9             6 →    session_0341_a7902d6b             4 jd_xbzbpsknhjps
46   session_0336_a7902d6b            20 →    session_0341_a7902d6b             4 jd_xbzbpsknhjps
47   session_0046_90b41dc4            11 →    NOT_FOUND                         0 jd_xweqivlcinax
48   session_0182_e8bff492            17 →    NOT_FOUND                         0 jd_xweqivlcinax
49   session_0246_570c671a             6 →    session_0348_69c21f9f            25 jd_zdtyyimacitw
50   session_0321_d588164b             8 →    session_0348_69c21f9f            25 jd_zdtyyimacitw
51   session_0228_d5d7c6d1             8 →    NOT_FOUND                         0 qys13954791116
52   session_0239_d7900b1b            12 →    NOT_FOUND                         0 qys13954791116
53   session_0245_d5d7c6d1             7 →    NOT_FOUND                         0 qys13954791116
54   session_0259_313263f6             5 →    NOT_FOUND                         0 qys13954791116
55   session_0041_16e9abc8            24 →    NOT_FOUND                         0 v_chen6
56   session_0164_47557673            11 →    NOT_FOUND                         0 v_chen6
57   session_0036_57b45287             9 →    NOT_FOUND                         0 小禾s
58   session_0196_a25d2a99             3 →    NOT_FOUND                         0 小禾s
59   session_0181_9578bd37            28 →    NOT_FOUND                         0 山清水秀700924
60   session_0244_1d3b70d0             7 →    NOT_FOUND                         0 山清水秀700924
61   session_0015_8024c76c            90 →    session_0323_8024c76c            13 林内自营采暖000
62   session_0021_8024c76c            15 →    session_0323_8024c76c            13 林内自营采暖000
63   session_0153_8024c76c            20 →    session_0323_8024c76c            13 林内自营采暖000
64   session_0166_8024c76c            20 →    session_0323_8024c76c            13 林内自营采暖000
